orcid,full_name,first_name,last_name,version,name,type,organ,hubmap_id
0000-0002-2142-983X,Supriya Bidanta,Supriya,Bidanta,v1.2,asct-b-2d-models-crosswalk,2d-ftu,,HBM565.DVKX.367
0000-0002-2142-983X,Supriya Bidanta,Supriya,Bidanta,v1.1,asct-b-2d-models-mapping,2d-ftu,,HBM266.FLTT.686
0000-0002-2142-983X,Supriya Bidanta,Supriya,Bidanta,Mapping,asctb-mapping,2d-ftu,,HBM984.MZSG.873
0000-0001-6582-4041,Fauzan Isnaini,Fauzan,Isnaini,Mapping,asctb-mapping,2d-ftu,,HBM984.MZSG.873
0000-0002-3775-857,Rachel Bajema,Rachel,Bajema,v1.0,kidney-ascending-thin-loop-of-henle,2d-ftu,Kidney,HBM252.GXZL.248
0000-0002-3775-857,Rachel Bajema,Rachel,Bajema,v1.0,kidney-cortical-collecting-duct,2d-ftu,Kidney,HBM773.GJPC.954
0000-0002-3775-857,Rachel Bajema,Rachel,Bajema,v1.0,kidney-descending-thin-loop-of-henle,2d-ftu,Kidney,HBM752.FQRT.755
0000-0002-3775-857,Rachel Bajema,Rachel,Bajema,v1.0,kidney-inner-medullary-collecting-duct,2d-ftu,Kidney,HBM835.WLXG.458
0000-0002-3775-857,Rachel Bajema,Rachel,Bajema,v1.0,kidney-nephron,2d-ftu,Kidney,HBM489.SGQZ.655
0000-0002-3775-857,Rachel Bajema,Rachel,Bajema,v1.1,kidney-nephron,2d-ftu,Kidney,HBM868.LLHZ.223
0000-0002-3775-857,Rachel Bajema,Rachel,Bajema,v1.0,kidney-outer-medullary-collecting-duct,2d-ftu,Kidney,HBM337.SZDB.254
0000-0002-3775-8574,Rachel Bajema,Rachel,Bajema,v1.0,kidney-renal-corpuscle,2d-ftu,Kidney,HBM395.LVFN.656
0000-0002-3775-8574,Rachel Bajema,Rachel,Bajema,v1.1,kidney-renal-corpuscle,2d-ftu,Kidney,HBM848.QQPG.278
0000-0002-3775-857,Rachel Bajema,Rachel,Bajema,v1.0,kidney-thick-ascending-loop-of-henle,2d-ftu,Kidney,HBM856.XGXM.529
0000-0002-3775-8574,Rachel Bajema,Rachel,Bajema,v1.0,large-intestine-crypt-lieberkuhn,2d-ftu,Large intestine,HBM373.JRGS.542
0000-0002-3775-8574,Rachel Bajema,Rachel,Bajema,v1.1,large-intestine-crypt-lieberkuhn,2d-ftu,Large intestine,HBM344.NWFX.797
0000-0002-3775-8574,Rachel Bajema,Rachel,Bajema,v1.0,liver-liver-lobule,2d-ftu,Liver,HBM692.KXMT.939
0000-0002-3775-8574,Rachel Bajema,Rachel,Bajema,v1.1,liver-liver-lobule,2d-ftu,Liver,HBM389.SXZQ.599
0000-0002-3775-8574,Rachel Bajema,Rachel,Bajema,v1.0,lung-bronchial-submucosal-gland,2d-ftu,Lung,HBM438.ZJGP.747
0000-0002-3775-8574,Rachel Bajema,Rachel,Bajema,v1.0,lung-pulmonary-alveolus,2d-ftu,Lung,HBM626.KZVN.453
0000-0002-3775-8574,Rachel Bajema,Rachel,Bajema,v1.1,lung-pulmonary-alveolus,2d-ftu,Lung,HBM638.QLQK.834
0000-0002-3775-8574,Rachel Bajema,Rachel,Bajema,v1.0,pancreas-intercalated-duct,2d-ftu,Pancreas,HBM458.HKKL.976
0000-0002-3775-8574,Rachel Bajema,Rachel,Bajema,v1.0,pancreas-islets-langerhans,2d-ftu,Pancreas,HBM344.CNNH.639
0000-0002-3775-8574,Rachel Bajema,Rachel,Bajema,v1.1,pancreas-islets-langerhans,2d-ftu,Pancreas,HBM824.BJWG.292
0000-0002-3775-8574,Rachel Bajema,Rachel,Bajema,v1.0,pancreas-pancreatic-acinus,2d-ftu,Pancreas,HBM627.NNCW.688
0000-0002-3775-8574,Rachel Bajema,Rachel,Bajema,v1.0,prostate-prostate-glandular-acinus,2d-ftu,Prostate,HBM523.TDCH.662
0000-0002-3775-8574,Rachel Bajema,Rachel,Bajema,v1.1,prostate-prostate-glandular-acinus,2d-ftu,Prostate,HBM873.RHXX.584
0000-0002-3775-8574,Rachel Bajema,Rachel,Bajema,v1.0,skin-dermal-papilla,2d-ftu,Skin,HBM444.SLHZ.335
0000-0002-3775-8574,Rachel Bajema,Rachel,Bajema,v1.0,skin-epidermal-ridge,2d-ftu,Skin,HBM532.WTMJ.494
0000-0002-3775-8574,Rachel Bajema,Rachel,Bajema,v1.0,spleen-red-pulp,2d-ftu,Spleen,HBM979.GWZM.292
0000-0002-3775-8574,Rachel Bajema,Rachel,Bajema,v1.0,spleen-white-pulp,2d-ftu,Spleen,HBM332.LMKD.869
0000-0002-3775-8574,Rachel Bajema,Rachel,Bajema,v1.0,thymus-thymus-lobule,2d-ftu,Thymus,HBM794.PKVD.274
0000-0002-3775-8574,Rachel Bajema,Rachel,Bajema,v1.1,thymus-thymus-lobule,2d-ftu,Thymus,HBM234.BXNR.636
0000-0003-4549-588X,Jeremy A. Miller,Jeremy,Miller,v1.3,allen-brain,asct-b,Brain,HBM256.HGZN.489
0000-0001-9141-090X,Raymond Sanchez,Raymond,Sanchez,v1.3,allen-brain,asct-b,Brain,HBM256.HGZN.489
0000-0003-1355-892X,Richard Scheuermann,Richard,Scheuermann,v1.3,allen-brain,asct-b,Brain,HBM256.HGZN.489
0000-0003-4549-588X,Jeremy A. Miller,Jeremy,Miller,v1.4,allen-brain,asct-b,Brain,HBM568.VJBK.732
0000-0001-7620-8973,Kimberly Siletti,Kimberly,Siletti,v1.4,allen-brain,asct-b,Brain,HBM568.VJBK.732
0000-0003-1355-892X,Richard H. Scheuermann,Richard,Scheuermann,v1.4,allen-brain,asct-b,Brain,HBM568.VJBK.732
0000-0002-3927-2084,Muzlifah A. Haniffa,Muzlifah,Haniffa,v1.0,blood-pelvis,asct-b,Pelvis,HBM957.CKRV.896
0000-0003-4495-8205,Laura Jardine,Laura,Jardine,v1.0,blood-pelvis,asct-b,Pelvis,HBM957.CKRV.896
0000-0002-6294-6366,Sarah A. Teichmann,Sarah,Teichmann,v1.0,blood-pelvis,asct-b,Pelvis,HBM957.CKRV.896
0000-0002-3927-2084,Muzlifah A. Haniffa,Muzlifah,Haniffa,v1.1,blood-pelvis,asct-b,Pelvis,HBM296.NBLN.233
0000-0003-4495-8205,Laura Jardine,Laura,Jardine,v1.1,blood-pelvis,asct-b,Pelvis,HBM296.NBLN.233
0000-0002-6294-6366,Sarah A. Teichmann,Sarah,Teichmann,v1.1,blood-pelvis,asct-b,Pelvis,HBM296.NBLN.233
0000-0002-3927-2084,Muzlifah A. Haniffa,Muzlifah,Haniffa,v1.3,blood-pelvis,asct-b,Pelvis,HBM785.CGSG.458
0000-0003-4495-8205,Laura Jardine,Laura,Jardine,v1.3,blood-pelvis,asct-b,Pelvis,HBM785.CGSG.458
0000-0002-6294-6366,Sarah A. Teichmann,Sarah,Teichmann,v1.3,blood-pelvis,asct-b,Pelvis,HBM785.CGSG.458
0000-0002-2597-881X,Griffin Weber,Griffin,Weber,v1.0,blood-vasculature-organ-crosswalk,asct-b,Blood vasculature,HBM577.MCCB.463
0000-0002-5574-4272,Katherine S Gustilo,Katherine,Gustilo,v1.0,blood-vasculature-organ-crosswalk,asct-b,Blood vasculature,HBM577.MCCB.463
0000-0002-2597-881X,Griffin Weber,Griffin,Weber,v1.1,blood-vasculature,asct-b,Blood vasculature,HBM655.DGSW.887
0000-0002-6692-6880,Sujin Lee,Sujin,Lee,v1.1,blood-vasculature,asct-b,Blood vasculature,HBM655.DGSW.887
0000-0003-0120-4630,Rajeev Malhotra,Rajeev,Malhotra,v1.1,blood-vasculature,asct-b,Blood vasculature,HBM655.DGSW.887
0000-0002-2597-881X,Griffin Weber,Griffin,Weber,v1.2,blood-vasculature,asct-b,Blood vasculature,HBM954.HNGT.899
0000-0002-6692-6880,Sujin Lee,Sujin,Lee,v1.2,blood-vasculature,asct-b,Blood vasculature,HBM954.HNGT.899
0000-0003-0120-4630,Rajeev Malhotra,Rajeev,Malhotra,v1.2,blood-vasculature,asct-b,Blood vasculature,HBM954.HNGT.899
0000-0002-2597-881X,Griffin Weber,Griffin,Weber,v1.3,blood-vasculature,asct-b,Blood vasculature,HBM948.FMZR.475
0000-0002-6692-6880,Sujin Lee,Sujin,Lee,v1.3,blood-vasculature,asct-b,Blood vasculature,HBM948.FMZR.475
0000-0003-0120-4630,Rajeev Malhotra,Rajeev,Malhotra,v1.3,blood-vasculature,asct-b,Blood vasculature,HBM948.FMZR.475
0000-0002-2597-881X,Griffin Weber,Griffin,Weber,v1.4,blood-vasculature,asct-b,Blood vasculature,HBM279.CXVW.525
0000-0002-6692-6880,Sujin Lee,Sujin,Lee,v1.4,blood-vasculature,asct-b,Blood vasculature,HBM279.CXVW.525
0000-0003-0120-4630,Rajeev Malhotra,Rajeev,Malhotra,v1.4,blood-vasculature,asct-b,Blood vasculature,HBM279.CXVW.525
0000-0002-3927-2084,Muzlifah A. Haniffa,Muzlifah,Haniffa,v1.0,bone-marrow-and-blood,asct-b,Bone marrow,HBM963.TBFP.428
0000-0003-4495-8205,Laura Jardine,Laura,Jardine,v1.0,bone-marrow-and-blood,asct-b,Bone marrow,HBM963.TBFP.428
0000-0002-6294-6366,Sarah A. Teichmann,Sarah,Teichmann,v1.0,bone-marrow-and-blood,asct-b,Bone marrow,HBM963.TBFP.428
0000-0002-3927-2084,Muzlifah A. Haniffa,Muzlifah,Haniffa,v1.1,bone-marrow-pelvis,asct-b,Bone marrow,HBM692.WVQX.752
0000-0003-4495-8205,Laura Jardine,Laura,Jardine,v1.1,bone-marrow-pelvis,asct-b,Bone marrow,HBM692.WVQX.752
0000-0002-6294-6366,Sarah A. Teichmann,Sarah,Teichmann,v1.1,bone-marrow-pelvis,asct-b,Bone marrow,HBM692.WVQX.752
0000-0002-3927-2084,Muzlifah A. Haniffa,Muzlifah,Haniffa,v1.2,bone-marrow-pelvis,asct-b,Bone marrow,HBM449.NWVK.668
0000-0003-4495-8205,Laura Jardine,Laura,Jardine,v1.2,bone-marrow-pelvis,asct-b,Bone marrow,HBM449.NWVK.668
0000-0002-6294-6366,Sarah A. Teichmann,Sarah,Teichmann,v1.2,bone-marrow-pelvis,asct-b,Bone marrow,HBM449.NWVK.668
0000-0002-3927-2084,Muzlifah A. Haniffa,Muzlifah,Haniffa,v1.3,bonemarrow-pelvis,asct-b,Bone marrow,HBM846.XXGG.898
0000-0003-4495-8205,Laura Jardine,Laura,Jardine,v1.3,bonemarrow-pelvis,asct-b,Bone marrow,HBM846.XXGG.898
0000-0002-6294-6366,Sarah A. Teichmann,Sarah,Teichmann,v1.3,bonemarrow-pelvis,asct-b,Bone marrow,HBM846.XXGG.898
0000-0002-7072-5272,Song-Lin Ding,Song-Lin,Ding,v1.0,brain,asct-b,Brain,HBM264.CCRF.525
0000-0003-4549-588X,Jeremy A. Miller,Jeremy,Miller,v1.0,brain,asct-b,Brain,HBM264.CCRF.525
0000-0003-2540-1153,Amy Bernard,Amy,Bernard,v1.0,brain,asct-b,Brain,HBM264.CCRF.525
0000-0002-7072-5272,Song-Lin Ding,Song-Lin,Ding,v1.1,brain,asct-b,Brain,HBM477.RWSM.936
0000-0003-4549-588X,Jeremy A. Miller,Jeremy,Miller,v1.1,brain,asct-b,Brain,HBM477.RWSM.936
0000-0003-2540-1153,Amy Bernard,Amy,Bernard,v1.1,brain,asct-b,Brain,HBM477.RWSM.936
0000-0003-4549-588X,Jeremy A. Miller,Jeremy,Miller,v1.2,brain,asct-b,Brain,HBM527.JQCW.377
0000-0001-9141-090X,Raymond Sanchez,Raymond,Sanchez,v1.2,brain,asct-b,Brain,HBM527.JQCW.377
0000-0003-1355-892X,Richard Scheuermann,Richard,Scheuermann,v1.2,brain,asct-b,Brain,HBM527.JQCW.377
0000-0001-8776-2769,Angela Kruse,Angela,Kruse,v1.0,eye,asct-b,Eye,HBM369.RBVN.935
0000-0001-9769-1538,Kevin Schey,Kevin,Schey,v1.0,eye,asct-b,Eye,HBM369.RBVN.935
0000-0002-3959-1712,Christine Curcio,Christine,Curcio,v1.0,eye,asct-b,Eye,HBM369.RBVN.935
0000-0001-8776-2769,Angela Kruse,Angela,Kruse,v1.1,eye,asct-b,Eye,HBM494.KLQK.628
0000-0001-9769-1538,Kevin Schey,Kevin,Schey,v1.1,eye,asct-b,Eye,HBM494.KLQK.628
0000-0002-3959-1712,Christine Curcio,Christine,Curcio,v1.1,eye,asct-b,Eye,HBM494.KLQK.628
0000-0001-8776-2769,Angela Kruse,Angela,Kruse,v1.2,eye,asct-b,Eye,HBM762.WRRQ.394
0000-0001-9769-1538,Kevin Schey,Kevin,Schey,v1.2,eye,asct-b,Eye,HBM762.WRRQ.394
0000-0002-3959-1712,Christine Curcio,Christine,Curcio,v1.2,eye,asct-b,Eye,HBM762.WRRQ.394
0000-0001-8776-2769,Angela Kruse,Angela,Kruse,v1.3,eye,asct-b,Eye,HBM262.HRHH.693
0000-0001-9769-1538,Kevin Schey,Kevin,Schey,v1.3,eye,asct-b,Eye,HBM262.HRHH.693
