organ,total_cost
blood vasculature,2806976076.909997
spleen,10205876.04
pelvis,9332450.85
prostate,306085659.25000006
bone marrow,1100522592.1599991
brain,2700758665.810002
urinary bladder,473461511.02000034
fallopian tube,457818264.8600002
heart,1794641316.3499997
placenta,106536219.95000005
thymus,31134777.25999999
knee,139130449.24
kidney,693873962.3599999
trachea,812693.31
skin,512013232.0900002
uterus,99106441.41999999
lymph node,498553662.4600002
ureter,784308.55
lymph vasculature,108951231.53000002
lung,851543207.7700003
eye,494762895.07000005
skeletal,272672986.15999997
ovary,150755576.33999997
peripheral nervous system,5919860977.996997
muscular system,6870908947.97701
small intestine,1832885412.1700022
liver,401927335.75000024
large intestine,3175442529.1199946
pancreas,79902836.69
spinal cord,649714083.6900002
main bronchus,411792518.1500003
