,soma_joinid,feature_id,feature_name,feature_length
0,0,ENSG00000121410,A1BG,3999
1,1,ENSG00000268895,A1BG-AS1,3374
2,2,ENSG00000148584,A1CF,9603
3,3,ENSG00000175899,A2M,6318
4,4,ENSG00000245105,A2M-AS1,2948
5,5,ENSG00000166535,A2ML1,7156
6,6,ENSG00000256661,A2ML1-AS1,452
7,7,ENSG00000184389,A3GALT2,1023
8,8,ENSG00000128274,A4GALT,3358
9,9,ENSG00000118017,A4GNT,1779
10,10,ENSG00000094914,AAAS,4727
11,11,ENSG00000081760,AACS,16039
12,12,ENSG00000114771,AADAC,1632
13,13,ENSG00000197953,AADACL2,5071
14,14,ENSG00000242908,AADACL2-AS1,635
15,15,ENSG00000188984,AADACL3,4055
16,16,ENSG00000204518,AADACL4,2027
17,17,ENSG00000109576,AADAT,2970
18,18,ENSG00000158122,PRXL2C,3098
19,19,ENSG00000103591,AAGAB,4138
20,20,ENSG00000115977,AAK1,24843
21,21,ENSG00000087884,AAMDC,1943
22,22,ENSG00000127837,AAMP,3055
23,23,ENSG00000129673,AANAT,2156
24,24,ENSG00000131043,AAR2,7291
25,25,ENSG00000205002,AARD,2404
26,26,ENSG00000090861,AARS1,10248
27,27,ENSG00000124608,AARS2,5242
28,28,ENSG00000266967,AARSD1,3704
29,29,ENSG00000157426,AASDH,4654
30,30,ENSG00000149313,AASDHPPT,6003
31,31,ENSG00000008311,AASS,10816
32,32,ENSG00000215458,AATBC,4874
33,33,ENSG00000275700,AATF,12155
34,34,ENSG00000181409,AATK,13177
35,35,ENSG00000254180,AB015752.3,4788
36,36,ENSG00000281376,ABALON,1903
37,37,ENSG00000183044,ABAT,9713
38,38,ENSG00000165029,ABCA1,11343
39,39,ENSG00000154263,ABCA10,8405
40,40,ENSG00000144452,ABCA12,9614
41,41,ENSG00000179869,ABCA13,19075
42,42,ENSG00000107331,ABCA2,11507
43,43,ENSG00000167972,ABCA3,7804
44,44,ENSG00000198691,ABCA4,8547
45,45,ENSG00000154265,ABCA5,13158
46,46,ENSG00000154262,ABCA6,14158
47,47,ENSG00000064687,ABCA7,9591
48,48,ENSG00000141338,ABCA8,11246
49,49,ENSG00000154258,ABCA9,9024
50,50,ENSG00000231749,ABCA9-AS1,2990
51,51,ENSG00000085563,ABCB1,6422
52,52,ENSG00000135776,ABCB10,4268
53,53,ENSG00000073734,ABCB11,7715
54,54,ENSG00000005471,ABCB4,7728
55,55,ENSG00000004846,ABCB5,8796
56,56,ENSG00000115657,ABCB6,5205
57,57,ENSG00000131269,ABCB7,5364
58,58,ENSG00000197150,ABCB8,9336
59,59,ENSG00000150967,ABCB9,13291
60,60,ENSG00000103222,ABCC1,8736
61,61,ENSG00000124574,ABCC10,8087
62,62,ENSG00000121270,ABCC11,8469
63,63,ENSG00000140798,ABCC12,8699
64,64,ENSG00000023839,ABCC2,7837
65,65,ENSG00000108846,ABCC3,9615
66,66,ENSG00000125257,ABCC4,8629
67,67,ENSG00000114770,ABCC5,11365
68,68,ENSG00000223882,ABCC5-AS1,469
69,69,ENSG00000091262,ABCC6,6908
70,70,ENSG00000006071,ABCC8,27254
71,71,ENSG00000069431,ABCC9,17483
72,72,ENSG00000101986,ABCD1,4238
73,73,ENSG00000173208,ABCD2,6290
74,74,ENSG00000117528,ABCD3,7655
75,75,ENSG00000119688,ABCD4,8922
76,76,ENSG00000164163,ABCE1,6254
77,77,ENSG00000204574,ABCF1,4496
78,78,ENSG00000285292,ABCF2-H2BE1,2185
79,79,ENSG00000033050,ABCF2,5158
80,80,ENSG00000161204,ABCF3,5207
81,81,ENSG00000160179,ABCG1,6121
82,82,ENSG00000118777,ABCG2,5602
83,83,ENSG00000172350,ABCG4,6231
84,84,ENSG00000138075,ABCG5,3720
85,85,ENSG00000143921,ABCG8,10179
86,86,ENSG00000143994,ABHD1,4630
87,87,ENSG00000144827,ABHD10,3026
88,88,ENSG00000106077,ABHD11,2274
