s_iri,relationship,t_iri,,,,,,
http://identifiers.org/hgnc/48639,characterize,https://purl.org/ccf/ASCTB-TEMP_l5et113,,,,,,
http://identifiers.org/hgnc/613,characterize,http://purl.obolibrary.org/obo/CL_0000877,,,,,,
http://identifiers.org/hgnc/2558,characterize,http://purl.obolibrary.org/obo/CL_0000559,,,,,,
http://identifiers.org/hgnc/6374,characterize,http://purl.obolibrary.org/obo/CL_0000623,,,,,,
http://identifiers.org/hgnc/8239,characterize,https://purl.org/ccf/ASCTB-TEMP_epen72,,,,,,
http://identifiers.org/hgnc/5541,characterize,http://purl.obolibrary.org/obo/CL_0000787,,,,,,
http://identifiers.org/hgnc/6018,characterize,https://purl.org/ccf/ASCTB-TEMP_splenic-red-pulp-stromal-cell,,,,,,
http://identifiers.org/hgnc/6106,characterize,http://purl.obolibrary.org/obo/CL_0000815,,,,,,
http://identifiers.org/hgnc/25735,characterize,https://purl.org/ccf/ASCTB-TEMP_lrl321,,,,,,
http://identifiers.org/hgnc/12335,characterize,http://purl.obolibrary.org/obo/PCL_0015001,,,,,,
http://identifiers.org/hgnc/14120,characterize,http://purl.obolibrary.org/obo/CL_0000485,,,,,,
http://identifiers.org/hgnc/1663,characterize,http://purl.obolibrary.org/obo/CL_1000414,,,,,,
http://identifiers.org/hgnc/10259,characterize,https://purl.org/ccf/ASCTB-TEMP_ulit133,,,,,,
http://identifiers.org/hgnc/2532,characterize,http://purl.obolibrary.org/obo/CL_0000836,,,,,,
http://identifiers.org/hgnc/12403,characterize,http://purl.obolibrary.org/obo/CL_0000746,,,,,,
http://identifiers.org/hgnc/12029,characterize,http://purl.obolibrary.org/obo/CL_0000900,,,,,,
http://identifiers.org/hgnc/6107,characterize,http://purl.obolibrary.org/obo/CL_0000169,,,,,,
http://identifiers.org/hgnc/4170,characterize,http://purl.obolibrary.org/obo/CL_0000764,,,,,,
http://identifiers.org/hgnc/4341,characterize,http://purl.obolibrary.org/obo/CL_0019029,,,,,,
http://identifiers.org/hgnc/5541,characterize,http://purl.obolibrary.org/obo/CL_0000816,,,,,,
http://identifiers.org/hgnc/1653,characterize,http://purl.obolibrary.org/obo/CL_0000900,,,,,,
http://identifiers.org/hgnc/3619,characterize,http://purl.obolibrary.org/obo/CL_0000051,,,,,,
http://identifiers.org/hgnc/19864,characterize,http://purl.obolibrary.org/obo/CL_0019032,,,,,,
http://identifiers.org/hgnc/4278,characterize,https://purl.org/ccf/ASCTB-TEMP_prostate-perictye,,,,,,
http://identifiers.org/hgnc/1673,characterize,http://purl.obolibrary.org/obo/CL_0002038,,,,,,
https://purl.org/ccf/ASCTB-TEMP_ms4a2,characterize,https://purl.org/ccf/ASCTB-TEMP_mast-cell,,,,,,
http://identifiers.org/hgnc/1119,characterize,http://purl.obolibrary.org/obo/CL_0000148,,,,,,
https://purl.org/ccf/ASCTB-TEMP_cd207,characterize,https://purl.org/ccf/ASCTB-TEMP_langerhans-cell,,,,,,
http://identifiers.org/hgnc/1706,characterize,http://purl.obolibrary.org/obo/CL_0000900,,,,,,
http://identifiers.org/hgnc/6378,characterize,http://purl.obolibrary.org/obo/CL_0000623,,,,,,
http://identifiers.org/hgnc/6008,characterize,http://purl.obolibrary.org/obo/CL_0000824,,,,,,
https://purl.org/ccf/ASCTB-TEMP_rp11-387p12-1,characterize,https://purl.org/ccf/ASCTB-TEMP_ulit128,,,,,,
http://identifiers.org/hgnc/1643,characterize,http://purl.obolibrary.org/obo/CL_0000236,,,,,,
http://identifiers.org/hgnc/26735,characterize,http://purl.obolibrary.org/obo/CL_0009076,,,,,,
http://identifiers.org/hgnc/1748,characterize,http://purl.obolibrary.org/obo/CL_0002207,,,,,,
https://purl.org/ccf/ASCTB-TEMP_rp11-265i24-1,characterize,https://purl.org/ccf/ASCTB-TEMP_cbi303,,,,,,
http://identifiers.org/hgnc/7315,characterize,http://purl.obolibrary.org/obo/CL_0000824,,,,,,
http://identifiers.org/hgnc/5196,characterize,https://purl.org/ccf/ASCTB-TEMP_chrp80,,,,,,
http://identifiers.org/hgnc/6352,characterize,http://purl.obolibrary.org/obo/PCL_0015056,,,,,,
http://identifiers.org/hgnc/7315,characterize,http://purl.obolibrary.org/obo/CL_0009111,,,,,,
http://identifiers.org/hgnc/1706,characterize,http://purl.obolibrary.org/obo/CL_0009018,,,,,,
http://identifiers.org/hgnc/6012,characterize,http://purl.obolibrary.org/obo/CL_0002399,,,,,,0
http://identifiers.org/hgnc/1678,characterize,http://purl.obolibrary.org/obo/CL_0000235,,,,,,
http://identifiers.org/hgnc/11249,characterize,http://purl.obolibrary.org/obo/CL_0000775,,,,,,
http://identifiers.org/hgnc/24149,characterize,http://purl.obolibrary.org/obo/CL_0002396,,,,,,
http://identifiers.org/hgnc/9171,characterize,http://purl.obolibrary.org/obo/CL_0000653,,,,,,
http://identifiers.org/hgnc/28867,characterize,https://purl.org/ccf/ASCTB-TEMP_cbi299,,,,,,
https://purl.org/ccf/ASCTB-TEMP_cd117,characterize,http://purl.obolibrary.org/obo/CL_0001065,,,,,,
http://identifiers.org/hgnc/10690,characterize,http://purl.obolibrary.org/obo/CL_0000553,,,,,,
https://purl.org/ccf/ASCTB-TEMP_loc101927286,characterize,http://purl.obolibrary.org/obo/PCL_0015024,,,,,,
http://identifiers.org/hgnc/11529,characterize,http://purl.obolibrary.org/obo/CL_4033022,,,,,,
http://identifiers.org/hgnc/10639,characterize,https://purl.org/ccf/ASCTB-TEMP_splenic-stromal-sheath-cell,,,,,,
http://identifiers.org/hgnc/2770,characterize,http://purl.obolibrary.org/obo/CL_0009106,,,,,,
http://identifiers.org/hgnc/11272,characterize,http://purl.obolibrary.org/obo/CL_0000764,,,,,,
http://identifiers.org/hgnc/1673,characterize,http://purl.obolibrary.org/obo/CL_0009113,,,,,,
http://identifiers.org/hgnc/3349,characterize,http://purl.obolibrary.org/obo/CL_0000764,,,,,,
http://identifiers.org/hgnc/10499,characterize,http://purl.obolibrary.org/obo/CL_0001054,,,,,,
http://identifiers.org/hgnc/4708,characterize,http://purl.obolibrary.org/obo/CL_0000814,,,,,,
http://identifiers.org/hgnc/16213,characterize,https://purl.org/ccf/ASCTB-TEMP_llc269,,,,,,
https://purl.org/ccf/ASCTB-TEMP_cd31,characterize,http://purl.obolibrary.org/obo/CL_1001033,,,,,,
http://identifiers.org/hgnc/4620,characterize,http://purl.obolibrary.org/obo/CL_0000057,,,,,,
http://identifiers.org/hgnc/7154,characterize,http://purl.obolibrary.org/obo/CL_0009082,,,,,,
http://identifiers.org/hgnc/6740,characterize,https://purl.org/ccf/ASCTB-TEMP_dendritic-cell,,,,,,
https://purl.org/ccf/ASCTB-TEMP_cd34,characterize,http://purl.obolibrary.org/obo/CL_0000036,,,,,,
http://identifiers.org/hgnc/43906,characterize,https://purl.org/ccf/ASCTB-TEMP_splat351,,,,,,
http://identifiers.org/hgnc/13841,characterize,https://purl.org/ccf/ASCTB-TEMP_mge250,,,,,,
http://identifiers.org/hgnc/1639,characterize,http://purl.obolibrary.org/obo/CL_0000935,,,,,,
http://identifiers.org/hgnc/9832,characterize,http://purl.obolibrary.org/obo/CL_0009083,,,,,,
http://identifiers.org/hgnc/7569,characterize,https://purl.org/ccf/ASCTB-TEMP_cge287,,,,,,
