source_id,source_rdfs_label,source_name,source_type,relationship,target_id,target_rdfs_label,target_name,target_type
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,CT,located_in,FMA:22824,Deep palmar branch of ulnar artery,deep palmar branch of ulnar artery,AS
FMA:49914,Right superior pulmonary vein,right superior pulmonary vein,AS,part_of,UBERON:0002079,left cardiac atrium,left atrium,AS
HGNC:11241,SPI1,SPI1,B,characterizes,CL:0009081,specified double negative thymocyte,double negative thymocyte 2,CT
CL:0001035,bone cell,bone cell,CT,located_in,,,shaft of femur,AS
FMA:15736,conus artery,conus artery,AS,part_of,UBERON:0002080,heart right ventricle,right ventricle,AS
,,superior vertebral notch of ninth thoracic vertebra,AS,part_of,UBERON:0004633,thoracic vertebra 9,thoracic vertebra 9,AS
,,Preosteoclasts,CT,located_in,UBERON:0009980,condyle of femur,Distal Femur,AS
CL:0000540,neuron,neuron,CT,located_in,FMA:44921,lateral dorsal digital branch of ulnar nerve to little finger,lateral dorsal digital branch of ulnar nerve to little finger,AS
,,superior pubic ramus of pubis of os coxa,AS,part_of,UBERON:0001272,innominate bone,os coxa,AS
CL:0001035,bone cell,bone cell,CT,located_in,,,lateral lip of linea aspera of femur,AS
,,neutrophil,CT,located_in,,,lamina propria Fallopian tube ampulla,AS
CL:0000057,fibroblast,fibroblasts,CT,located_in,,,Lamina propria/Gut associated lymphoid tissue (GALT),AS
CL:0000669,pericyte cell,pericyte cell,CT,is_a,,,perivascular cells,CT
UBERON:0001072,posterior vena cava,inferior vena cava,AS,part_of,UBERON:0002078,right cardiac atrium,right atrium,AS
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,CT,located_in,UBERON:0002456,internal thoracic artery,internal thoracic artery,AS
HGNC:1434,calbindin 1,calbindin 1,B,characterizes,CL:0000561,Amacrine Cell,Amacrine Cell,CT
,Mmb_323 Mammillary body Neuron of hypothalamus,Mmb_323,CT,located_in,UBERON:0001898,hypothalamus,hypothalamus,AS
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,CT,located_in,UBERON:0010408,ocular angle artery,angular artery,AS
CL:1000413,endothelial cell of artery,endothelial cell of artery,CT,located_in,FMA:50469,Posterior temporal branch of middle cerebral artery,posterior temporal branch of middle cerebral artery,AS
HGNC:1799,CDR2,CDR2,B,characterizes,CL:0009075,myo-medullary thymic epithelial cell,myo-medullary thymic epithelial cell,CT
,,AC092684.1,B,characterizes,,Amex_173 Amygdala excitatory Neuron of gray matter of forebrain,Amex_173,CT
FMA:50830,Deep lingual vein,deep lingual vein,AS,part_of,UBERON:0006634,lingual vein,lingual vein,AS
HGNC:12723,Visual system homeobox 1,VSX1,B,characterizes,CL:0000748,retinal bipolar neuron,Bipolar Cell,CT
PCL:0015052,Inh L1-2 SST PRRT4 primary motor cortex GABAergic interneuron (Hsap),Inh L1-2 SST PRRT4,CT,located_in,UBERON:0001384,Primary motor cortex,Primary motor cortex,AS
,Mgl_6 Microglia Non-neuron of brain,Mgl_6,CT,located_in,UBERON:0000955,brain,brain,AS
,,basal plate,AS,part_of,,,placental disc,AS
UBERON:0035655,paraumbilical vein,paraumbilical vein,AS,part_of,UBERON:0001639,hepatic portal vein,hepatic portal vein,AS
,,meningohypophyseal artery,AS,part_of,FMA:49817,Cavernous branch of internal carotid artery,cavernous branch of internal carotid artery,AS
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,CT,located_in,UBERON:0035273,superior thoracic artery,superior thoracic artery,AS
CL:0002460,CD8alpha-negative thymic conventional dendritic cell,conventional dendritic cell 2,CT,located_in,UBERON:0002124,medulla of thymus,medulla of thymus,AS
FMA:53434,utricular nerve,utricular nerve,AS,part_of,FMA:53401,vestibular nerve,vestibular nerve,AS
HGNC:23399,FRAS1 related extracellular matrix 1,FREM1,B,characterizes,PCL:0015042,Inh L5 SST RPL35AP11 primary motor cortex GABAergic interneuron (Hsap),Inh L5 SST RPL35AP11,CT
HGNC:1748,CDH1,CDH1,B,characterizes,CL:4033007,brush cell of epithelium of lobar bronchus,tuft cell,CT
UBERON:0001506,brachialis muscle,brachialis muscle,AS,part_of,,,anterior compartment of arm muscle,AS
HGNC:11127,sialic acid binding Ig like lectin 1,SIGLEC1,B,characterizes,,,Interstitial macrophage,CT
CL:1000413,endothelial cell of artery,endothelial cell of artery,CT,located_in,FMA:4498,Left seventh posterior intercostal artery,left posterior intercostal artery 7,AS
CL:0002064,pancreatic acinar cell,Acinar cell,CT,located_in,UBERON:0001263,Pancreatic acinus,Pancreatic acinus,AS
CL:1000413,endothelial cell of artery,endothelial cell of artery,CT,located_in,FMA:14763,Left ovarian artery,left ovarian artery,AS
UBERON:0002049,vasculature,vasculature,AS,part_of,UBERON:0002080,heart right ventricle,right ventricle,AS
UBERON:0001961,mucosa-associated lymphoid tissue,dermal skin-associated lymphoid tissue,AS,part_of,UBERON:0002067,dermis,dermis,AS
UBERON:0003387,smooth muscle of trachea,smooth muscle of trachea,AS,part_of,UBERON:0003126,trachea,trachea,AS
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,CT,located_in,,,dorsal branch of lateral proper palmar digital artery of third digit of hand,AS
HGNC:2718,DDB2,damage specific DNA binding protein 2,B,characterizes,CL:0000646,basal cell,Keratinocyte (Basal),CT
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,CT,located_in,FMA:4799,Left second posterior intercostal vein,left posterior intercostal vein 2,AS
,CGE_278 CGE interneuron Neuron of gray matter of forebrain,CGE_278,CT,located_in,UBERON:0019264,gray matter of forebrain,gray matter of forebrain,AS
UBERON:0001526,extensor carpi ulnaris muscle,extensor carpi ulnaris muscle,AS,part_of,,,posterior compartment of forearm muscle,AS
HGNC:20657,tetraspanin 1,TSPAN1,B,characterizes,CL:0002145,ciliated columnar cell of tracheobronchial tree,ciliated columnar cell of tracheobronchial tree,CT
,,alveolar macrophage MT-positive,CT,located_in,UBERON:0002405,immune system,immune system of respiratory tract,AS
PCL:0015060,Inh L5-6 PVALB ZFPM2-AS1 primary motor cortex GABAergic interneuron (Hsap),Inh L5-6 PVALB ZFPM2-AS1,CT,located_in,UBERON:0001384,Primary motor cortex,Primary motor cortex,AS
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,CT,located_in,UBERON:0015174,helicine artery of penis,helicine artery of penis,AS
HGNC:2252,coronin 1A,CORO1A,B,characterizes,CL:0000815,regulatory T cell,regulatory T cell,CT
HGNC:6012,IL3RA,CD123,B,characterizes,CL:0000840,immature conventional dendritic cell,transitional Dendritic Cell (tDC),CT
HGNC:17905,FHOD1,FHOD1+,B,characterizes,,,Splenic Littoral Cell,CT
,,IL1B,B,characterizes,,,macrophage,CT
HGNC:1678,CD4,CD4,B,characterizes,CL:0000897,"CD4-positive, alpha-beta memory T cell",Memory CD4+ T cell,CT
HGNC:18628,stabilin 1,STAB1,B,characterizes,,,Interstitial macrophage,CT
HGNC:1674,CD3E,CD3,B,characterizes,CL:0000049,common myeloid progenitor,common myeloid progenitor (CMP),CT
