Age Group,#Male,#Femal
0-9,1,0
10-19,11,9
20-29,320,247
30-39,230,325
40-49,353,339
50-59,414,324
60-69,342,407
70-79,341,275
80-89,219,365
90-99,7,7
Unknown,103,
