Career Age,#Male Authors,#Female Authors,#Male Experts ,#Female Experts
1,16,17,1,0
2,121,80,4,8
3,259,179,14,8
4,427,326,11,13
5,724,447,6,3
6,13193,8678,9,11
7,16244,9597,15,10
8,6668,3538,7,2
9,2244,1143,0,0
10,1753,991,0,0
11,49,22,0,0
12,35,24,0,0
13,10,3,0,0
14,6,1,0,0
15,4,0,0,0
16,1,2,0,0
17,2,0,0,0
