keyword,processed
nerve to gluteus maximus (n),0
anterior compartment of leg muscle,0
CABP5,0
sigmoid artery,0
DLNP_92,0
corpus luteum of pregnancy,0
anterior basal segmental artery of right lung,0
eustachian branch of ascending pharyngeal artery,0
cremasteric artery,0
superior articular facet of first thoracic vertebra,0
dorsal ramus of first sacral spinal nerve,0
SELENOP,0
Splenic Pericyte,0
Fetal nucleus,0
subclavian lymph trunk,0
blood vessel endothelial cell,0
AChE,0
muscular branch of tibial nerve to flexor hallucis longus,0
deltoid branch of anterior branch of axillary nerve,0
DLNP_83,0
nerve to auricularis anterior,0
vomer,0
right anterior fundus of uterus,0
FOXP2,0
CD300LG,0
Infrapatellar fat pad,0
temporalis muscle,0
Inh L3-6 PAX6 LINC01497,0
vessel,0
HPGDS+,0
head of fibula,0
CLU,0
GATM,0
Vascular Smooth Muscle Cell/Pericyte (general),0
columnar ovarian surface epithelial cell,0
bulbourethral artery,0
vagus nerve,0
PCDH15,0
coronary sinus,0
leg bone,0
vertebral foramen of first thoracic vertebra,0
cytokeratin 3,0
TNFRSF25,0
mesenteric lymph node,0
ubiquitin C-terminal hydrolase L1,0
posterior ethmoidal foramen of ethmoid bone,0
shaft of first proximal phalanx of foot,0
terminal/ transitional bronchiole,0
AQP1,0
spleen,0
Schwann Cell,0
C1orf228,0
LHX8,0
FCGR2B,0
superior articular facet of ninth rib,0
GJA4,0
Macula Densa cell,0
rectus abdominis muscle,0
anterior ampullary nerve,0
inferior articular facet of first cervical vertebra,0
inferior articular process of second thoracic vertebra,0
head of fifth proximal phalanx of foot,0
ectocervical epithelium,0
FOLR2,0
TBet low Liver NK cell,0
Patella Ligament,0
third thoracic spinal nerve,0
CCR7,0
vertebral foramen of fifth cervical vertebra,0
ventral ramus of seventh cervical spinal nerve,0
Loop of Henle (Thick Limb),0
FSHR,0
CD11a,0
meningeal branch of sixth cervical nerve,0
EpCAM(hi),0
branch of anterior interosseous nerve to flexor digitorum profundus,0
respiratory diaphragm muscle,0
anterior intercostal artery 3,0
right subcostal vein,0
right lymphatic duct,0
plica of Fallopian tube intramural segment,0
dorsal branch of ulnar nerve,0
CTSH,0
Amex_161,0
medial dorsal digital artery of second digit of foot,0
CCL5,0
Ventral pancreas,0
