organ,id,doi,notes,type
blood_vasculature,https://en.wikipedia.org/wiki/Ascending_pharyngeal_artery,,For AS,reference
peripheral_nervous_system,https://en.wikipedia.org/wiki/Cervical_branch_of_the_facial_nerve,,,reference
blood_vasculature,https://en.wikipedia.org/wiki/Superior_thyroid_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Supraorbital_vein,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Arcuate_vein,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Common_palmar_digital_arteries,,For AS,reference
blood_vasculature,https://www.kenhub.com/en/library/anatomy/posterior-auricular-artery,,For AS,reference
trachea,,10.1172/jci.insight.90558,,general_publication
blood_vasculature,https://en.wikipedia.org/wiki/Lateral_marginal_vein,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Testicular_vein,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Thymic_branches_of_internal_thoracic_artery,,For AS,reference
peripheral_nervous_system,https://en.wikipedia.org/wiki/Cardiac_branches_of_the_vagus_nerve,,,reference
fallopian_tube,none,,,reference
blood_vasculature,https://en.wikipedia.org/wiki/Dorsal_carpal_branch_of_the_radial_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Common_hepatic_artery,,For AS,reference
liver,https://www.wjgnet.com/1007-9327/full/v12/i22/3523.htm,10.3748/wjg.v12.i22.3523,CFTR - data more in rat than human,reference
skin,PMID: 19763149,10.1038/nri2622,"Nestle FO, Di Meglio P, Qin JZ, Nickoloff BJ. Skin immune sentinels in health and disease. Nat Rev Immunol. 2009 Oct;9(10):679-91.",reference
kidney,DOI: 10.1101/2021.07.28.454201,10.1101/2021.07.28.454201,no FBLN5,reference
blood_vasculature,https://en.wikipedia.org/wiki/Medial_palpebral_arteries,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Basal_vein,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Artery_of_bulb_of_vestibule,,For AS,reference
uterus,PMID: 24243625,,,reference
skin,PMID: 25799052,10.14670/hh-11-610,"Laverdet B, Danigo A, Girard D, Magy L, Demiot C, DesmouliâˆšÂ®re A. Skin innervation: important roles during normal and pathological cutaneous repair. Histol Histopathol. 2015 Aug;30(8):875-92.",reference
blood_vasculature,https://en.wikipedia.org/wiki/Anterior_spinal_artery,,For AS,reference
skin,PMID: 8806963,10.1097/00000372-199606000-00008,"Narvaez D, Kanitakis J, Faure M, Claudy A. Immunohistochemical study of CD34-positive dendritic cells of human dermis. Am J Dermatopathol. 1996 Jun;18(3):283-8. DOI: 10.1097/00000372-199606000-00008. PMID: 8806963.",reference
blood_vasculature,https://en.wikipedia.org/wiki/Superficial_palmar_venous_arch,,For AS,reference
blood_vasculature,"Cassius V.C. Reis, M.D., Vivek Deshmukh, M.D., Joseph M. Zabramski, M.D., Marcelo Crusius, M.D., Pushpa Desmukh, Ph.D., Robert F. Spetzler, M.D., Mark C. Preul, M.D., Anatomy of the Mastoid Emissary Vein and Venous System of the Posterior Neck Region: Neurosurgical Implications, Operative Neurosurgery, Volume 61, Issue suppl_5, November 2007, Pages ONS193-ONS201.",10.1227/01.neu.0000303217.53607.d9,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Middle_colic_artery,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Internal_cerebral_veins,,For AS,reference
blood_vasculature,https://en.wikipedia.org/wiki/Artery_of_the_pterygoid_canal,,For AS,reference
