tissue_general,tissue_general_ontology_term_id,tissue,tissue_ontology_term_id,dataset_id,self_reported_ethnicity,self_reported_ethnicity_ontology_term_id,sex,sex_ontology_term_id,suspension_type,collection_id,collection_name,collection_doi,pubyear,dataset_title,dataset_h5ad_path,dataset_total_cell_count,dataset_version_id
prostate gland,UBERON:0002367,transition zone of prostate,UBERON:8410025,5ba85070-a41c-4184-9c18-cf34c3fd0f62,African American,HANCESTRO:0568,male,PATO:0000384,cell,4b54248f-2165-477c-a027-dd55082e8818,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions,10.1002/path.5751,2021,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - Human Fibromuscular Stromal Cells,5ba85070-a41c-4184-9c18-cf34c3fd0f62.h5ad,10742,0ec77dfa-1b21-49d1-8d97-0995b2264e68
prostate gland,UBERON:0002367,transition zone of prostate,UBERON:8410025,5ba85070-a41c-4184-9c18-cf34c3fd0f62,European,HANCESTRO:0005,male,PATO:0000384,cell,4b54248f-2165-477c-a027-dd55082e8818,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions,10.1002/path.5751,2021,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - Human Fibromuscular Stromal Cells,5ba85070-a41c-4184-9c18-cf34c3fd0f62.h5ad,10742,0ec77dfa-1b21-49d1-8d97-0995b2264e68
prostate gland,UBERON:0002367,transition zone of prostate,UBERON:8410025,5ba85070-a41c-4184-9c18-cf34c3fd0f62,Asian,HANCESTRO:0008,male,PATO:0000384,cell,4b54248f-2165-477c-a027-dd55082e8818,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions,10.1002/path.5751,2021,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - Human Fibromuscular Stromal Cells,5ba85070-a41c-4184-9c18-cf34c3fd0f62.h5ad,10742,0ec77dfa-1b21-49d1-8d97-0995b2264e68
prostate gland,UBERON:0002367,peripheral zone of prostate,UBERON:8410026,5ba85070-a41c-4184-9c18-cf34c3fd0f62,African American,HANCESTRO:0568,male,PATO:0000384,cell,4b54248f-2165-477c-a027-dd55082e8818,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions,10.1002/path.5751,2021,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - Human Fibromuscular Stromal Cells,5ba85070-a41c-4184-9c18-cf34c3fd0f62.h5ad,10742,0ec77dfa-1b21-49d1-8d97-0995b2264e68
prostate gland,UBERON:0002367,peripheral zone of prostate,UBERON:8410026,5ba85070-a41c-4184-9c18-cf34c3fd0f62,European,HANCESTRO:0005,male,PATO:0000384,cell,4b54248f-2165-477c-a027-dd55082e8818,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions,10.1002/path.5751,2021,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - Human Fibromuscular Stromal Cells,5ba85070-a41c-4184-9c18-cf34c3fd0f62.h5ad,10742,0ec77dfa-1b21-49d1-8d97-0995b2264e68
prostate gland,UBERON:0002367,peripheral zone of prostate,UBERON:8410026,5ba85070-a41c-4184-9c18-cf34c3fd0f62,Asian,HANCESTRO:0008,male,PATO:0000384,cell,4b54248f-2165-477c-a027-dd55082e8818,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions,10.1002/path.5751,2021,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - Human Fibromuscular Stromal Cells,5ba85070-a41c-4184-9c18-cf34c3fd0f62.h5ad,10742,0ec77dfa-1b21-49d1-8d97-0995b2264e68
prostate gland,UBERON:0002367,peripheral zone of prostate,UBERON:8410026,574e9f9e-f8b4-41ef-bf19-89a9964fd9c7,European,HANCESTRO:0005,male,PATO:0000384,cell,4b54248f-2165-477c-a027-dd55082e8818,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions,10.1002/path.5751,2021,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - All Human Cells,574e9f9e-f8b4-41ef-bf19-89a9964fd9c7.h5ad,83451,5f05f0d7-a6eb-428c-8622-01f73263ea39
prostate gland,UBERON:0002367,peripheral zone of prostate,UBERON:8410026,574e9f9e-f8b4-41ef-bf19-89a9964fd9c7,African American,HANCESTRO:0568,male,PATO:0000384,cell,4b54248f-2165-477c-a027-dd55082e8818,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions,10.1002/path.5751,2021,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - All Human Cells,574e9f9e-f8b4-41ef-bf19-89a9964fd9c7.h5ad,83451,5f05f0d7-a6eb-428c-8622-01f73263ea39
prostate gland,UBERON:0002367,peripheral zone of prostate,UBERON:8410026,574e9f9e-f8b4-41ef-bf19-89a9964fd9c7,Asian,HANCESTRO:0008,male,PATO:0000384,cell,4b54248f-2165-477c-a027-dd55082e8818,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions,10.1002/path.5751,2021,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - All Human Cells,574e9f9e-f8b4-41ef-bf19-89a9964fd9c7.h5ad,83451,5f05f0d7-a6eb-428c-8622-01f73263ea39
prostate gland,UBERON:0002367,transition zone of prostate,UBERON:8410025,dd018fc0-8da7-4033-a2ba-6b47de8ebb4f,Asian,HANCESTRO:0008,male,PATO:0000384,cell,4b54248f-2165-477c-a027-dd55082e8818,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions,10.1002/path.5751,2021,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - Human Epithelial Cells,dd018fc0-8da7-4033-a2ba-6b47de8ebb4f.h5ad,42127,24200359-9f30-4de2-b2a7-cf03b7e47c3e
prostate gland,UBERON:0002367,transition zone of prostate,UBERON:8410025,dd018fc0-8da7-4033-a2ba-6b47de8ebb4f,African American,HANCESTRO:0568,male,PATO:0000384,cell,4b54248f-2165-477c-a027-dd55082e8818,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions,10.1002/path.5751,2021,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - Human Epithelial Cells,dd018fc0-8da7-4033-a2ba-6b47de8ebb4f.h5ad,42127,24200359-9f30-4de2-b2a7-cf03b7e47c3e
prostate gland,UBERON:0002367,transition zone of prostate,UBERON:8410025,dd018fc0-8da7-4033-a2ba-6b47de8ebb4f,European,HANCESTRO:0005,male,PATO:0000384,cell,4b54248f-2165-477c-a027-dd55082e8818,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions,10.1002/path.5751,2021,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - Human Epithelial Cells,dd018fc0-8da7-4033-a2ba-6b47de8ebb4f.h5ad,42127,24200359-9f30-4de2-b2a7-cf03b7e47c3e
