,soma_joinid,organism,category,ontology_term_id,unique_cell_count,total_cell_count,label
0,0,Homo sapiens,all,na,33364242,56400873,na
1,1,Homo sapiens,assay,EFO:0008722,264166,279635,Drop-seq
2,2,Homo sapiens,assay,EFO:0008780,25652,51304,inDrop
3,3,Homo sapiens,assay,EFO:0008919,89477,206754,Seq-Well
4,4,Homo sapiens,assay,EFO:0008931,78750,188248,Smart-seq2
5,5,Homo sapiens,assay,EFO:0008953,4693,9386,STRT-seq
6,6,Homo sapiens,assay,EFO:0008995,0,29128,10x technology
7,7,Homo sapiens,assay,EFO:0009899,7559102,12638794,10x 3' v2
8,8,Homo sapiens,assay,EFO:0009900,2930054,3139770,10x 5' v2
9,9,Homo sapiens,assay,EFO:0009901,42397,121394,10x 3' v1
10,10,Homo sapiens,assay,EFO:0009922,11845077,25597563,10x 3' v3
11,11,Homo sapiens,assay,EFO:0010010,3105,5244,CEL-seq2
12,12,Homo sapiens,assay,EFO:0010183,58981,117962,single cell library construction
13,13,Homo sapiens,assay,EFO:0010550,4062980,5064268,sci-RNA-seq
14,14,Homo sapiens,assay,EFO:0011025,3872375,6139786,10x 5' v1
15,15,Homo sapiens,assay,EFO:0030002,625175,642559,microwell-seq
16,16,Homo sapiens,assay,EFO:0030003,744798,811422,10x 3' transcription profiling
17,17,Homo sapiens,assay,EFO:0030004,915037,1084235,10x 5' transcription profiling
18,18,Homo sapiens,assay,EFO:0700003,146278,177276,BD Rhapsody Whole Transcriptome Analysis
19,19,Homo sapiens,assay,EFO:0700004,96145,96145,BD Rhapsody Targeted mRNA
20,20,Homo sapiens,cell_type,CL:0000001,80,80,primary cultured cell
21,21,Homo sapiens,cell_type,CL:0000003,889262,1308000,native cell
22,22,Homo sapiens,cell_type,CL:0000006,2502,2502,neuronal receptor cell
23,23,Homo sapiens,cell_type,CL:0000015,0,621,male germ cell
24,24,Homo sapiens,cell_type,CL:0000019,11,22,sperm
25,25,Homo sapiens,cell_type,CL:0000023,0,723,oocyte
26,26,Homo sapiens,cell_type,CL:0000024,0,4890,oogonial cell
27,27,Homo sapiens,cell_type,CL:0000031,385,2355,neuroblast (sensu Vertebrata)
28,28,Homo sapiens,cell_type,CL:0000034,64950,91878,stem cell
29,29,Homo sapiens,cell_type,CL:0000037,10347,37504,hematopoietic stem cell
30,30,Homo sapiens,cell_type,CL:0000038,23985,25671,erythroid progenitor cell
31,31,Homo sapiens,cell_type,CL:0000049,3401,13836,common myeloid progenitor
32,32,Homo sapiens,cell_type,CL:0000050,7725,30983,megakaryocyte-erythroid progenitor cell
33,33,Homo sapiens,cell_type,CL:0000051,2037,2105,common lymphoid progenitor
34,34,Homo sapiens,cell_type,CL:0000055,82,82,non-terminally differentiated cell
35,35,Homo sapiens,cell_type,CL:0000057,684880,1397813,fibroblast
