id,type,name
Publication/13305284,Publication,[Surgical treatment of coronary insufficiency].
Publication/24082303,Publication,Association between sleep and breast cancer incidence among postmenopausal women in the Women&apos;&apos;s Health Initiative.
Publication/32444151,Publication,Longitudinal associations of physical activity and pubertal development with academic achievement in adolescents.
Publication/32494201,Publication,Predictive Factors for Level V Lymph Node Metastases in Papillary Thyroid Carcinoma with <i>BRAF<sup>V600E</sup></i> Mutation and Clinicopathological Features.
Publication/35069251,Publication,Equal-Volume Strength Training With Different Training Frequencies Induces Similar Muscle Hypertrophy and Strength Improvement in Trained Participants.
Publication/36902637,Publication,Bone Mineral Density and All-Cause Mortality in Patients with Nondialysis Chronic Kidney Disease: Results from KNOW-CKD Study.
Publication/27998958,Publication,Bisphenol A and its analogues disrupt centrosome cycle and microtubule dynamics in prostate cancer.
Publication/36763330,Publication,Control of the post-infarct immune microenvironment through biotherapeutic and biomaterial-based approaches.
Publication/31204997,Publication,Liquid-crystal organization of liver tissue.
Publication/31359098,Publication,Does providing routine liver volume assessment add value when performing CT surveillance in cirrhotic patients?
Publication/30175238,Publication,Meta-analysis of exome array data identifies six novel genetic loci for lung function.
Publication/14344828,Publication,[BONE MARROW DISEASE IN AN INFANT CAUSED BY ANTIEPILEPTIC TREATMENT (SACERNO) OF THE MOTHER DURING PREGNANCY].
Publication/31614901,Publication,Inherited Variants in <i>BLM</i> and the Risk and Clinical Characteristics of Breast Cancer.
Publication/30406339,Publication,Mild cognitive impairment in long-term brain tumor survivors following brain irradiation.
Publication/31932919,Publication,An autopsy case of amyloid tubulopathy exhibiting characteristic spheroid-type deposition.
Publication/34440898,Publication,Heterogeneity of Hepatic Stellate Cells in Fibrogenesis of the Liver: Insights from Single-Cell Transcriptomic Analysis in Liver Injury.
Publication/26187707,Publication,[The clinical use of cryopreserved human skin allografts for transplantation].
Publication/31995660,Publication,Initial lung transplantation experience with uncontrolled donation after cardiac death in North America.
Publication/28797356,Publication,Prevalence of Atrial Fibrillation and Permanent Atrial Arrhythmias in Congenital Heart Disease: Sequel or Series?
Author/0000-0001-6206-0226,Author,"Tacke, Frank"
Author/0000-0003-4478-062X,Author,"Kolarik, Branden S."
Author/0000-0001-9013-4827,Author,"Eren, A. Murat"
Author/0000-0003-3447-4442,Author,"Ranjan, Aashish"
Author/0000-0003-3447-4442,Author,"Ranjan, Aashish"
Author/0000-0003-3447-4442,Author,"Ranjan, Aashish"
Author/0000-0003-3447-4442,Author,"Ranjan, Aashish"
Author/0000-0003-3447-4442,Author,"Ranjan, Aashish"
Author/0000-0001-5110-5716,Author,"Park, Yongsoon"
Author/0000-0002-0861-1901,Author,"Harrison, Tim"
Author/0000-0001-8647-2102,Author,"Mifsud, Nicole A."
Author/0000-0003-4360-9927,Author,"Forbes, Briony E."
Author/0000-0003-4360-9927,Author,"Forbes, Briony E."
Author/0000-0003-4360-9927,Author,"Forbes, Briony E."
Institution/Rhein Westfal TH Aachen_Dept Med 3,Institution,Rhein Westfal TH Aachen
Institution/University of California Davis_Dept Psychol,Institution,University of California Davis
Institution/Radboud University Nijmegen_Dept Microbiol,Institution,Radboud University Nijmegen
Institution/Department of Biotechnology (DBT) India_,Institution,Department of Biotechnology (DBT) India
Institution/Asan Med Ctr_Dept Dietet & Nutr Serv,Institution,Asan Med Ctr
Institution/Newcastle Upon Tyne Hosp NHS Fdn Trust_Cardiothorac Serv,Institution,Newcastle Upon Tyne Hosp NHS Fdn Trust
Institution/Monash Univ_Biomed Discovery Inst,Institution,Monash Univ
Institution/Flinders Univ South Australia_Discipline Med Biochem,Institution,Flinders Univ South Australia
Institution/Utah System of Higher Education_Dept Med Chem,Institution,Utah System of Higher Education
Institution/Monash University_Infect & Immun Program,Institution,Monash University
Institution/James Madison University_Dept Biol,Institution,James Madison University
Institution/Howard Hughes Medical Institute_,Institution,Howard Hughes Medical Institute
Institution/Univ Utah_Sch Med,Institution,Univ Utah
Institution/Univ Southern Denmark_SMRC,Institution,Univ Southern Denmark
Institution/Stanford Univ_Dept Biol,Institution,Stanford Univ
Institution/Utah System of Higher Education_Div Microbiol & Immunol,Institution,Utah System of Higher Education
Institution/Tsinghua Univ_Dept Chem,Institution,Tsinghua Univ
Institution/Vanderbilt Univ_Med Ctr,Institution,Vanderbilt Univ
Institution/University of Oklahoma Health Sciences Center_Dept Biostat & Epidemiol,Institution,University of Oklahoma Health Sciences Center
Institution/University of Utah_Div Microbiol & Immunol,Institution,University of Utah
Institution/Justus Liebig University Giessen_Dept Periodontol,Institution,Justus Liebig University Giessen
Institution/Ludwig Boltzmann Inst Lung Vasc Res_,Institution,Ludwig Boltzmann Inst Lung Vasc Res
Institution/Univ Texas Dallas_Sch Behav & Brain Sci,Institution,Univ Texas Dallas
Funding/NS052344-05,Funding,NINDS NIH HHS
Funding/R01 CA135242,Funding,NCI NIH HHS
Funding/P2-0046 (Separation Processes and Production Design).,Funding,Javna Agencija za Raziskovalno Dejavnost RS
Funding/227397,Funding,CIHR
Funding/R01 CA118678,Funding,NCI NIH HHS
Funding/K25CA204599,Funding,National Institutes of Health-National Cancer Institute
Funding/R01 CA240963,Funding,NCI NIH HHS
Funding/K01 DK102867,Funding,NIDDK NIH HHS
Funding/UIDP/04077/2020,Funding,Funda&Atilde;&sect;&Atilde;&pound;o para a Ci&Atilde;&ordf;ncia e a Tecnologia
Funding/81670807,Funding,National Natural Science Foundation of China
Funding/R00 HD092894,Funding,NICHD NIH HHS
Funding/AG019362,Funding,NIA NIH HHS
Funding/R15 NR012157,Funding,NINR NIH HHS
Funding/285879,Funding,Consejo Nacional de Ciencia y Tecnolog&Atilde;&shy;a
Funding/G03/140,Funding,Instituto de Salud Carlos III
Funding/K/2DS/007820,Funding,Uniwersytet Jagiello&Atilde;&Acirc;&bdquo;ski Collegium Medicum
Funding/BBS/E/J/000PR9794,Funding,Biotechnology and Biological Sciences Research Council
Funding/R37 HD032116,Funding,NICHD NIH HHS
Funding/GM-23547,Funding,NIGMS NIH HHS
Funding/HIM/2016/045 Ssa1276,Funding,Hospital Infantil de M&Atilde;&copy;xico Federico G&Atilde;&sup3;mez
Funding/R01 CA207497,Funding,NCI NIH HHS
Funding/05348-15,Funding,"Canadian Network for Research and Innovation in Machining Technology, Natural Sciences and Engineering Research Council of Canada"
Funding/PJT 159847,Funding,CIHR
Dataset/GTEX-1R9PN-5002-SM-HD2MC,Dataset,
Dataset/GTEX-1CAMS-5015-SM-HPJ3C,Dataset,
Dataset/GTEX-1MCC2-5013-SM-HPJ3D,Dataset,
Dataset/GTEX-16BQI-5013-SM-H8SUW,Dataset,
Dataset/GTEX-15SB6-5008-SM-H8L72,Dataset,
Dataset/GTEX-145ME-5005-SM-H8L6T,Dataset,
Dataset/GTEX-1ICG6-5014-SM-GHS9D,Dataset,
Dataset/GTEX-144GM-5010-SM-HD2M8,Dataset,
Dataset/GTEX-1HSMQ-5021-SM-HD2MA,Dataset,
Dataset/GTEX-1ICG6-5003-SM-GHS9A,Dataset,
Dataset/GTEX-13N11-5002-SM-H5JDV,Dataset,
Dataset/GTEX-15RIE-5015-SM-H8L6X,Dataset,
Dataset/GTEX-1HSMQ-5005-SM-GKSJF,Dataset,
Dataset/GTEX-15CHR-5005-SM-H5JDT,Dataset,
Dataset/GTEX-13N11-5030-SM-H5JDW,Dataset,
Dataset/GTEX-1HSMQ-5014-SM-GKSJI,Dataset,
Dataset/GTEX-15CHR-5014-SM-H5JDU,Dataset,
Dataset/GTEX-1I1GU-5006-SM-G8XQC,Dataset,
Dataset/GTEX-12BJ1-5007-SM-H8L6U,Dataset,
Dataset/GTEX-1HSMQ-5011-SM-GKSJH,Dataset,
Dataset/GTEX-15RIE-5021-SM-H8L6Y,Dataset,
Dataset/GTEX-145ME-5018-SM-G8XQB,Dataset,
Dataset/GTEX-1HSMQ-5007-SM-GKSJG,Dataset,
Dataset/GTEX-1CAMR-5015-SM-HPJ3B,Dataset,
Dataset/GTEX-15EOM-5003-SM-G64IH,Dataset,
Dataset/7eef1634020f429f9855ff319ff0c65e,Dataset,
Dataset/1d1a8376b558398588f92688314f23c5,Dataset,
Dataset/d4fae29feb0215a11b6e4d3072107e09,Dataset,
Dataset/0a6f5c1afbcc31622eb34daf88c2c016,Dataset,
Dataset/3683b49e27133c064ccbd59ff9723e7c,Dataset,
Dataset/efeae1a9895b88a4ccdbfa35dc98fdf2,Dataset,
Dataset/e0ba24d0c4dab528e46aab3f67a1aae8,Dataset,
Dataset/b7a2c05fdd9ddd0c83c9786ede98a24e,Dataset,
Dataset/4081680ef553db5f91fb3587dde595b6,Dataset,
Dataset/776bd778f20409d8ce2dd8f5bf5789ae,Dataset,
Dataset/9a6403bb0423e62950926a7d4fdab45b,Dataset,
Dataset/989181f44061257701eca7c0b63e0f9f,Dataset,
Dataset/45c5111e579800c021fd5dfaedc614c2,Dataset,
Dataset/6618f3be3571e757aa473d1a3e60b356,Dataset,
Dataset/49cf1e5fa366852bd2b73f0d8ea206f5,Dataset,
Dataset/2523d502e8bdd90d461aad4ac95a2172,Dataset,
Dataset/cd880c54e0095bad5200397588eccf81,Dataset,
Dataset/e21e76dbfcf94f3de679a284c8aa9bd1,Dataset,
Dataset/8dd0ef5cafa3541cf9f0661db64662b7,Dataset,
Dataset/298caad597d4a9eaaa3edbc89d79db82,Dataset,
Dataset/0dc91e6484430c2db25b6765dd6aa565,Dataset,
Dataset/a5234e06fed9a14ee8d29c5aa0258ba5,Dataset,
