doi,in_asctb_5th,in_cellmarker,in_cxg,in_31_organ_PubMed_pubs,linked_organs,pub_year,article_title,authors,manually filled in_all,manually filled in_year,manually corrected_title
10.1001/archneurol.2010.322,0,1,0,0,,2011.0,Efficacy and safety of mitoxantrone in patients with highly relapsing neuromyelitis optica.,,FALSE,FALSE,FALSE
10.1001/archsurg.2011.795,0,1,0,0,,2012.0,Combined CD133/CD44 expression as a prognostic indicator of disease-free survival in patients with colorectal cancer.,,FALSE,FALSE,FALSE
10.1002/1096-8652(200007)64:3<221::aid-ajh16>3.0.co;2-n,0,1,0,0,,2000.0,Subcutaneous panniculitis by Epstein-Barr virus-infected natural killer (NK) cell proliferation terminating in aggressive subcutaneous NK cell lymphoma.,,FALSE,FALSE,FALSE
10.1002/1097-0142(20011201)92:11<2778::aid-cncr10125>3.0.co;2-s,0,1,0,0,,2001.0,"MAGE-A4, a germ cell specific marker, is expressed differentially in testicular tumors.",,FALSE,FALSE,FALSE
10.1002/1521-4141(200203)32:3<652::aid-immu652>3.0.co;2-9,0,1,0,0,,2002.0,Cellular and molecular requirements for the recall of IL-4-producing memory CD4(+)CD45RO(+)CD27(-) T cells during protection induced by attenuated Plasmodium falciparum sporozoites.,,FALSE,FALSE,FALSE
10.1002/1521-4141(200206)32:6<1640::aid-immu1640>3.0.co;2-s,0,1,0,0,,2002.0,CD84 is up-regulated on a major population of human memory B cells and recruits the SH2 domain containing proteins SAP and EAT-2.,,FALSE,FALSE,FALSE
10.1002/1529-0131(200107)44:7<1534::aid-art276>3.0.co;2-,0,1,0,0,,2001.0,Localization of 3-nitrotyrosine to rheumatoid and normal synovium.,,FALSE,FALSE,FALSE
10.1002/1529-0131(200107)44:7<1540::aid-art277>3.0.co;2-7,0,1,0,0,,2001.0,Expression of hypoxia-inducible factor 1alpha by macrophages in the rheumatoid synovium: implications for targeting of therapeutic genes to the inflamed joint.,,FALSE,FALSE,FALSE
10.1002/1873-3468.12389,0,1,0,0,,2016.0,Origin of the hematopoietic system in the human embryo.,,FALSE,FALSE,FALSE
10.1002/9780470151808.sc0303s11,0,1,0,0,,2009.0,Culture and isolation of brain tumor initiating cells.,,FALSE,FALSE,FALSE
10.1002/9780470151808.sc0303s34,0,1,0,0,,2015.0,Culture and Isolation of Brain Tumor Initiating Cells.,,FALSE,FALSE,FALSE
10.1002/aja.1001700321,0,1,0,0,,1984.0,Cells of the fetomaternal interface: their role in the maintenance of viviparous pregnancy.,,FALSE,FALSE,FALSE
10.1002/anie.201407982,0,1,0,0,,2014.0,Highly specific electrochemical analysis of cancer cells using multi-nanoparticle labeling.,,FALSE,FALSE,FALSE
10.1002/ar.1091830404,1,0,0,0,,1975.0,Smooth muscle in lymph node capsule and trabeculae.,,FALSE,FALSE,FALSE
10.1002/ar.23190,0,1,0,0,,2015.0,Changes in the Submandibular Salivary Gland Epithelial Cell Subpopulations During Progression of Sjögren's Syndrome-Like Disease in the NOD/ShiLtJ Mouse Model,,FALSE,FALSE,TRUE
10.1002/art.10207,0,1,0,0,,2002.0,Macrophage subpopulations in rheumatoid synovium: reduced CD163 expression in CD4+ T lymphocyte-rich microenvironments.,,FALSE,FALSE,FALSE
10.1002/art.20301,0,1,0,0,,2004.0,Local expression of the serum amyloid A and formyl peptide receptor-like 1 genes in synovial tissue is associated with matrix metalloproteinase production in patients with inflammatory arthritis.,,FALSE,FALSE,FALSE
10.1002/art.27406,0,1,0,0,,2010.0,Decreased lymphatic vessel counts in patients with systemic sclerosis: association with fingertip ulcers.,,FALSE,FALSE,FALSE
10.1002/art.27710,0,1,0,0,,2010.0,Characterization of the human nucleus pulposus cell phenotype and evaluation of novel marker gene expression to define adult stem cell differentiation.,,FALSE,FALSE,FALSE
10.1002/art.38288,0,1,0,0,,2014.0,Association of Interferon- and Transforming Growth Factor β–Regulated Genes and Macrophage Activation With Systemic Sclerosis–Related Progressive Lung Fibrosis,,FALSE,FALSE,TRUE
10.1002/art.38379,0,1,0,0,,2014.0,Brief report: alternative activation of laser-captured murine hemophagocytes.,,FALSE,FALSE,FALSE
10.1002/art.40218,0,1,0,0,,2017.0,Synovial Immunophenotype and Anti-Citrullinated Peptide Antibodies in Rheumatoid Arthritis Patients: Relationship to Treatment Response and Radiologic Prognosis.,,FALSE,FALSE,FALSE
10.1002/biot.201200199,1,0,0,0,,2013.0,Perivascular cells in blood vessel regeneration.,,FALSE,FALSE,FALSE
10.1002/bit.25553,0,1,0,0,,2015.0,Maintenance of HL-1 cardiomyocyte functional activity in PEGylated fibrin gels.,,FALSE,FALSE,FALSE
10.1002/btm2.10078,0,1,0,0,,2017.0,Soluble Collagen VI treatment enhances mesenchymal stem cells expansion for engineering cartilage.,,FALSE,FALSE,FALSE
10.1002/cbf.2815,0,1,0,0,,2012.0,miRNAs expressed differently in cancer stem cells and cancer cells of human gastric cancer cell line MKN-45.,,FALSE,FALSE,FALSE
10.1002/cbf.3228,0,1,0,0,,2016.0,Gene expression profiles of human subcutaneous and visceral adipose-derived stem cells.,,FALSE,FALSE,FALSE
10.1002/cbin.10117,0,1,0,0,,2013.0,Role of CD271 enrichment in the isolation of mesenchymal stromal cells from umbilical cord blood.,,FALSE,FALSE,FALSE
10.1002/cbin.10432,0,1,0,0,,2015.0,Origins of the breast milk-derived cells; an endeavor to find the cell sources.,,FALSE,FALSE,FALSE
10.1002/cbin.10487,0,1,0,0,,2015.0,Differentiation of C57/BL6 mice bone marrow mononuclear cells into early endothelial progenitors cells in different culture conditions.,,FALSE,FALSE,FALSE
10.1002/cbin.10490,0,1,0,0,,2015.0,In vitro generation of functional dendritic cells differentiated from CD34 negative cells isolated from human umbilical cord blood.,,FALSE,FALSE,FALSE
10.1002/cbin.10903,0,1,0,0,,2018.0,Isolation and characterization of human mesenchymal stem cells derived from synovial fluid by magnetic-activated cell sorting (MACS).,,FALSE,FALSE,FALSE
10.1002/cncr.24308,0,1,0,0,,2009.0,"SALL4 is a novel sensitive and specific marker for metastatic germ cell tumors, with particular utility in detection of metastatic yolk sac tumors.",,FALSE,FALSE,FALSE
10.1002/cncr.27794,0,1,0,0,,2013.0,"CD66c is a novel marker for colorectal cancer stem cell isolation, and its silencing halts tumor growth in vivo.",,FALSE,FALSE,FALSE
10.1002/cne.10491,1,0,0,0,,2003.0,Immunocytochemical description of five bipolar cell types of the mouse retina.,,FALSE,FALSE,FALSE
10.1002/cne.10672,1,0,0,0,,2003.0,Synaptic connections of starburst amacrine cells and localization of acetylcholine receptors in primate retinas.,,FALSE,FALSE,FALSE
10.1002/cne.10985,1,0,0,0,,2004.0,Types of bipolar cells in the mouse retina.,,FALSE,FALSE,FALSE
10.1002/cne.21666,1,0,0,0,,2008.0,Mirror-symmetrical populations of wide-field amacrine cells of the macaque monkey retina.,,FALSE,FALSE,FALSE
10.1002/cne.22756,1,0,0,0,,2011.0,Immunohistochemical identification and synaptic inputs to the diffuse bipolar cell type DB1 in macaque retina.,,FALSE,FALSE,FALSE
